# omch2,ombh2,H0,ns,As,mnu,w0,wa,tau,nnu,ok
5.320075603182769567e+07,-1.025704916437661350e+08,1.212096071503945568e+05,-2.376263481173611246e+06,-2.186333063249591000e+15,1.106314914221353596e+06,3.544258707415319048e+06,9.623860080367067130e+05,9.395962907069852576e+06,-1.205358410638845060e+06,-4.093648423030095547e+07
-1.025704916437661350e+08,4.705646243380054832e+08,-3.119575504429033608e+05,6.357872346943272278e+06,1.942521791608885750e+15,-2.847070897371772211e+06,-9.127969996615523472e+06,-2.477859550378955901e+06,-8.345026573390797712e+06,2.702250157599937171e+06,1.088141432941853851e+08
1.212096071503945568e+05,-3.119575504429033608e+05,3.146020466639083111e+02,-5.684895627177251299e+03,-3.223141666559845703e+12,2.882855402977110316e+03,9.199376479491811551e+03,2.498029635838452123e+03,1.386213910574631336e+04,-3.069849815621672860e+03,-1.047468238303149119e+05
-2.376263481173611246e+06,6.357872346943272278e+06,-5.684895627177251299e+03,7.138361532339543337e+05,3.304829702064186250e+14,-4.971259476890002406e+04,-1.663371926474050561e+05,-4.513903063154968549e+04,-1.423298816959154559e+06,8.011326306396128530e+03,2.714753315716870129e+06
-2.186333063249591000e+15,1.942521791608885750e+15,-3.223141666559845703e+12,3.304829702064186250e+14,3.014600326116288338e+23,-2.772888488953765234e+13,-9.428431353294590625e+13,-2.558092487027448047e+13,-1.295576746755151000e+15,1.212689665700635547e+13,1.527507666803710000e+15
1.106314914221353596e+06,-2.847070897371772211e+06,2.882855402977110316e+03,-4.971259476890002406e+04,-2.772888488953765234e+13,2.643424126421789333e+04,8.429772389449717593e+04,2.289069848351416294e+04,1.192610518687937583e+05,-2.833572109991540856e+04,-9.550898851781621343e+05
3.544258707415319048e+06,-9.127969996615523472e+06,9.199376479491811551e+03,-1.663371926474050561e+05,-9.428431353294590625e+13,8.429772389449717593e+04,2.690063976313907187e+05,7.304645602274329576e+04,4.055036990023071994e+05,-8.975413120340714522e+04,-3.063631272733550053e+06
9.623860080367067130e+05,-2.477859550378955901e+06,2.498029635838452123e+03,-4.513903063154968549e+04,-2.558092487027448047e+13,2.289069848351416294e+04,7.304645602274329576e+04,1.983521481840106935e+04,1.100205213725321228e+05,-2.437560479671728899e+04,-8.316871258308356628e+05
9.395962907069852576e+06,-8.345026573390797712e+06,1.386213910574631336e+04,-1.423298816959154559e+06,-1.295576746755151000e+15,1.192610518687937583e+05,4.055036990023071994e+05,1.100205213725321228e+05,5.568146105098757893e+06,-5.208826995085156523e+04,-6.569443544104993343e+06
-1.205358410638845060e+06,2.702250157599937171e+06,-3.069849815621672860e+03,8.011326306396128530e+03,1.212689665700635547e+13,-2.833572109991540856e+04,-8.975413120340714522e+04,-2.437560479671728899e+04,-5.208826995085156523e+04,3.434556334755002172e+04,9.463353224863219075e+05
-4.093648423030095547e+07,1.088141432941853851e+08,-1.047468238303149119e+05,2.714753315716870129e+06,1.527507666803710000e+15,-9.550898851781621343e+05,-3.063631272733550053e+06,-8.316871258308356628e+05,-6.569443544104993343e+06,9.463353224863219075e+05,3.916451854295358062e+07
