# omch2,ombh2,H0,ns,As,mnu,w0,wa,tau,nnu,ok
6.490172271196089469e+02,-7.012394925374011336e+02,-1.706051411971630127e+00,1.599397581789246260e+03,-2.466143923288643188e+11,4.965939756733554589e+00,-7.099957970402989815e+01,-2.032826167492621749e+01,7.240150789381315235e+02,-8.480966605317915574e-01,1.525117833120573891e+02
-7.012394925374011336e+02,2.028618718318276706e+03,8.919383177482707037e-01,-1.691080188986199346e+03,3.184962573627621460e+11,-2.781284722983973445e+00,4.049776370862696240e+01,1.370955235231516056e+01,-1.186898775054899943e+03,2.673690146337151852e+00,-2.768136463886742717e+02
-1.706051411971630127e+00,8.919383177482707037e-01,5.203568827530454313e-03,-4.258536391982119085e+00,6.129292347427002192e+08,-1.504243631175351641e-02,2.143721503817859753e-01,5.986363933059425657e-02,-1.615498448176438950e+00,8.564011282580514389e-04,-3.156322805193966796e-01
1.599397581789246260e+03,-1.691080188986199346e+03,-4.258536391982119085e+00,4.153383221341468015e+03,-6.353547302939520264e+11,1.262994780236515169e+01,-1.831280305382132383e+02,-5.321674186144250740e+01,1.887587570947863924e+03,-1.720028630147937054e+00,3.502106312526940997e+02
-2.466143923288643188e+11,3.184962573627621460e+11,6.129292347427002192e+08,-6.353547302939520264e+11,9.986828661088093798e+19,-1.825385814682139635e+09,2.648110976121931458e+10,7.785734676697961807e+09,-3.075587883300908813e+11,3.503409422150335312e+08,-5.943712132539192963e+10
4.965939756733554589e+00,-2.781284722983973445e+00,-1.504243631175351641e-02,1.262994780236515169e+01,-1.825385814682139635e+09,4.390696545138784296e-02,-6.263526576601345930e-01,-1.761069555025684685e-01,4.890097244207764149e+00,-2.347475365259568594e-03,9.132703847634801031e-01
-7.099957970402989815e+01,4.049776370862696240e+01,2.143721503817859753e-01,-1.831280305382132383e+02,2.648110976121931458e+10,-6.263526576601345930e-01,9.061086376009711785e+00,2.565535273490187951e+00,-7.149347114447733986e+01,3.332125247992845374e-02,-1.262026780839170392e+01
-2.032826167492621749e+01,1.370955235231516056e+01,5.986363933059425657e-02,-5.321674186144250740e+01,7.785734676697961807e+09,-1.761069555025684685e-01,2.565535273490187951e+00,7.336619971145902364e-01,-2.159847781288664237e+01,1.138459396010010199e-02,-3.693890323635256490e+00
7.240150789381315235e+02,-1.186898775054899943e+03,-1.615498448176438950e+00,1.887587570947863924e+03,-3.075587883300908813e+11,4.890097244207764149e+00,-7.149347114447733986e+01,-2.159847781288664237e+01,9.996751421061588871e+02,-1.328399944993200910e+00,1.938626050561753971e+02
-8.480966605317915574e-01,2.673690146337151852e+00,8.564011282580514389e-04,-1.720028630147937054e+00,3.503409422150335312e+08,-2.347475365259568594e-03,3.332125247992845374e-02,1.138459396010010199e-02,-1.328399944993200910e+00,4.110728777829718295e-03,-3.806175581180152312e-01
1.525117833120573891e+02,-2.768136463886742717e+02,-3.156322805193966796e-01,3.502106312526940997e+02,-5.943712132539192963e+10,9.132703847634801031e-01,-1.262026780839170392e+01,-3.693890323635256490e+00,1.938626050561753971e+02,-3.806175581180152312e-01,4.871985923340282909e+01
